tipo_vehiculo,anio,mes,filas_entrada,filas_salida,pct_retenido
yellow,2023,1,3066766,2989282,97.47
yellow,2023,1,3066766,2989282,97.47
yellow,2023,2,2913955,2841526,97.51
yellow,2023,3,3403766,3317032,97.45
yellow,2023,4,3288250,3209566,97.61
yellow,2023,5,3513649,3426929,97.53
yellow,2023,6,3307234,3221181,97.4
yellow,2023,7,2907108,2819724,96.99
yellow,2023,8,2824209,2729767,96.66
yellow,2023,9,2846722,2713343,95.31
yellow,2023,10,3522285,3357405,95.32
yellow,2023,11,3339715,3193557,95.62
yellow,2023,12,3376567,3254505,96.39
yellow,2024,1,2964624,2861866,96.53
yellow,2024,2,3007526,2893946,96.22
yellow,2024,3,3582628,3431336,95.78
yellow,2024,4,3514289,3405485,96.9
yellow,2024,5,3723833,3608435,96.9
yellow,2024,6,3539193,3419208,96.61
yellow,2024,7,3076903,2965053,96.36
yellow,2024,8,2979183,2858443,95.95
yellow,2024,9,3633030,3474709,95.64
yellow,2024,10,3833771,3672361,95.79
yellow,2024,11,3646369,3500868,96.01
yellow,2024,12,3668371,3510024,95.68
yellow,2025,1,3475226,3245643,93.39
yellow,2025,2,3577543,3299899,92.24
yellow,2025,3,4145257,3818560,92.12
yellow,2025,4,3970553,3662241,92.24
yellow,2025,5,4591845,4081369,88.88
yellow,2025,6,4322960,3859103,89.27
yellow,2025,7,3898963,3485451,89.39
yellow,2025,8,3574091,3170893,88.72
yellow,2025,9,4251015,3827345,90.03
yellow,2025,10,4428699,3933005,88.81
yellow,2025,11,4181444,3633692,86.9
yellow,2025,12,4305006,4039378,93.83
green,2023,1,68211,64080,93.94
green,2023,2,64809,61084,94.25
green,2023,3,72044,67686,93.95
green,2023,4,65392,61426,93.94
green,2023,5,69174,64799,93.68
green,2023,6,65550,61262,93.46
green,2023,7,61343,56998,92.92
green,2023,8,60649,56359,92.93
green,2023,9,65471,61172,93.43
green,2023,10,66177,61564,93.03
green,2023,11,64025,59749,93.32
green,2023,12,64215,59978,93.4
green,2024,1,56551,52820,93.4
green,2024,2,53577,49999,93.32
green,2024,3,57457,53692,93.45
green,2024,4,56471,52454,92.89
green,2024,5,61003,56907,93.29
green,2024,6,54748,51217,93.55
green,2024,7,51837,48065,92.72
green,2024,8,51771,48135,92.98
green,2024,9,54440,50722,93.17
green,2024,10,56147,52679,93.82
green,2024,11,52222,48657,93.17
green,2024,12,53994,50145,92.87
green,2025,1,48326,44859,92.83
green,2025,2,46621,43033,92.3
green,2025,3,51539,47275,91.73
green,2025,4,52132,47740,91.58
green,2025,5,55399,51151,92.33
green,2025,6,49390,46146,93.43
green,2025,7,48205,45543,94.48
green,2025,8,46306,43535,94.02
green,2025,9,48893,46265,94.62
green,2025,10,49416,46581,94.26
green,2025,11,46912,44066,93.93
green,2025,12,48236,45183,93.67
fhvhv,2023,1,18479031,18168469,98.32
fhvhv,2023,2,17960971,17680156,98.44
fhvhv,2023,3,20413539,20034607,98.14
fhvhv,2023,4,19144903,19102037,99.78
fhvhv,2023,5,19847676,19810101,99.81
fhvhv,2023,6,19366619,19329922,99.81
fhvhv,2023,7,19132131,19105728,99.86
fhvhv,2023,8,18322150,18298764,99.87
fhvhv,2023,9,19851123,19837742,99.93
fhvhv,2023,10,20186330,20177714,99.96
fhvhv,2023,11,19269250,19253646,99.92
fhvhv,2023,12,20516297,20505691,99.95
fhvhv,2024,1,19663930,19648278,99.92
fhvhv,2024,2,19359148,19341897,99.91
fhvhv,2024,3,21280788,21271089,99.95
fhvhv,2024,4,19733038,19723961,99.95
fhvhv,2024,5,20704538,20696235,99.96
fhvhv,2024,6,20123226,20114806,99.96
fhvhv,2024,7,19182934,19174879,99.96
fhvhv,2024,8,19128392,19120336,99.96
fhvhv,2024,9,19209788,19199441,99.95
fhvhv,2024,10,20028282,20003038,99.87
fhvhv,2024,11,19987533,19967139,99.9
fhvhv,2024,12,21068851,21020129,99.77
fhvhv,2025,1,20405666,20376783,99.86
fhvhv,2025,2,19339461,19327323,99.94
fhvhv,2025,3,20536879,20464611,99.65
fhvhv,2025,4,19753983,19731798,99.89
fhvhv,2025,5,21091193,21079956,99.95
fhvhv,2025,6,19868009,19845281,99.89
fhvhv,2025,7,19653012,19629617,99.88
fhvhv,2025,8,19271461,19076410,98.99
fhvhv,2025,9,19434641,19421657,99.93
fhvhv,2025,10,21308701,21269544,99.82
fhvhv,2025,11,20818240,20794418,99.89
fhvhv,2025,12,22108438,22066138,99.81
yellow,2023,1,3066766,2989282,97.47
yellow,2023,2,2913955,2841526,97.51
yellow,2023,3,3403766,3317032,97.45
yellow,2023,4,3288250,3209566,97.61
yellow,2023,5,3513649,3426929,97.53
yellow,2023,6,3307234,3221181,97.4
yellow,2023,7,2907108,2819724,96.99
yellow,2023,8,2824209,2729767,96.66
yellow,2023,9,2846722,2713343,95.31
yellow,2023,10,3522285,3357405,95.32
yellow,2023,11,3339715,3193557,95.62
yellow,2023,12,3376567,3254505,96.39
yellow,2024,1,2964624,2861866,96.53
yellow,2024,2,3007526,2893946,96.22
yellow,2024,3,3582628,3431336,95.78
yellow,2024,4,3514289,3405485,96.9
yellow,2024,5,3723833,3608435,96.9
yellow,2024,6,3539193,3419208,96.61
yellow,2024,7,3076903,2965053,96.36
yellow,2024,8,2979183,2858443,95.95
yellow,2024,9,3633030,3474709,95.64
yellow,2024,10,3833771,3672361,95.79
yellow,2024,11,3646369,3500868,96.01
yellow,2024,12,3668371,3510024,95.68
yellow,2025,1,3475226,3245643,93.39
yellow,2025,2,3577543,3299899,92.24
yellow,2025,3,4145257,3818560,92.12
yellow,2025,4,3970553,3662241,92.24
yellow,2025,5,4591845,4081369,88.88
yellow,2025,6,4322960,3859103,89.27
yellow,2025,7,3898963,3485451,89.39
yellow,2025,8,3574091,3170893,88.72
yellow,2025,9,4251015,3827345,90.03
yellow,2025,10,4428699,3933005,88.81
yellow,2025,11,4181444,3633692,86.9
yellow,2025,12,4305006,4039378,93.83
green,2023,1,68211,64080,93.94
green,2023,2,64809,61084,94.25
green,2023,3,72044,67686,93.95
green,2023,4,65392,61426,93.94
green,2023,5,69174,64799,93.68
green,2023,6,65550,61262,93.46
green,2023,7,61343,56998,92.92
green,2023,8,60649,56359,92.93
green,2023,9,65471,61172,93.43
green,2023,10,66177,61564,93.03
green,2023,11,64025,59749,93.32
green,2023,12,64215,59978,93.4
green,2024,1,56551,52820,93.4
green,2024,2,53577,49999,93.32
green,2024,3,57457,53692,93.45
green,2024,4,56471,52454,92.89
green,2024,5,61003,56907,93.29
green,2024,6,54748,51217,93.55
green,2024,7,51837,48065,92.72
green,2024,8,51771,48135,92.98
green,2024,9,54440,50722,93.17
green,2024,10,56147,52679,93.82
green,2024,11,52222,48657,93.17
green,2024,12,53994,50145,92.87
green,2025,1,48326,44859,92.83
green,2025,2,46621,43033,92.3
green,2025,3,51539,47275,91.73
green,2025,4,52132,47740,91.58
green,2025,5,55399,51151,92.33
green,2025,6,49390,46146,93.43
green,2025,7,48205,45543,94.48
green,2025,8,46306,43535,94.02
green,2025,9,48893,46265,94.62
green,2025,10,49416,46581,94.26
green,2025,11,46912,44066,93.93
green,2025,12,48236,45183,93.67
yellow,2023,1,3066766,3004804,97.98
yellow,2023,2,2913955,2856732,98.04
yellow,2023,3,3403766,3334909,97.98
yellow,2023,4,3288250,3227925,98.17
yellow,2023,5,3513649,3446635,98.09
yellow,2023,6,3307234,3240559,97.98
yellow,2023,7,2907108,2839022,97.66
yellow,2023,8,2824209,2749610,97.36
yellow,2023,9,2846722,2731618,95.96
yellow,2023,10,3522285,3380441,95.97
yellow,2023,11,3339715,3216539,96.31
yellow,2023,12,3376567,3279906,97.14
yellow,2024,1,2964624,2884766,97.31
yellow,2024,2,3007526,2917230,97.0
yellow,2024,3,3582628,3460208,96.58
yellow,2024,4,3514289,3433572,97.7
yellow,2024,5,3723833,3639927,97.75
yellow,2024,6,3539193,3450743,97.5
yellow,2024,7,3076903,2998117,97.44
yellow,2024,8,2979183,2893609,97.13
yellow,2024,9,3633030,3511264,96.65
yellow,2024,10,3833771,3712729,96.84
yellow,2024,11,3646369,3540784,97.1
yellow,2024,12,3668371,3556024,96.94
yellow,2025,1,3475226,3285774,94.55
yellow,2025,2,3577543,3336972,93.28
yellow,2025,3,4145257,3864196,93.22
yellow,2025,4,3970553,3711008,93.46
yellow,2025,5,4591845,4133869,90.03
yellow,2025,6,4322960,3908967,90.42
yellow,2025,7,3898963,3538143,90.75
yellow,2025,8,3574091,3224646,90.22
yellow,2025,9,4251015,3881050,91.3
yellow,2025,10,4428699,3979598,89.86
yellow,2025,11,4181444,3666589,87.69
yellow,2025,12,4305006,4072582,94.6
green,2023,1,68211,64080,93.94
green,2023,2,64809,61084,94.25
green,2023,3,72044,67686,93.95
green,2023,4,65392,61426,93.94
green,2023,5,69174,64799,93.68
green,2023,6,65550,61262,93.46
green,2023,7,61343,56998,92.92
green,2023,8,60649,56359,92.93
green,2023,9,65471,61172,93.43
green,2023,10,66177,61564,93.03
green,2023,11,64025,59749,93.32
green,2023,12,64215,59978,93.4
green,2024,1,56551,52820,93.4
green,2024,2,53577,49999,93.32
green,2024,3,57457,53692,93.45
green,2024,4,56471,52454,92.89
green,2024,5,61003,56907,93.29
green,2024,6,54748,51217,93.55
green,2024,7,51837,48065,92.72
green,2024,8,51771,48135,92.98
green,2024,9,54440,50722,93.17
green,2024,10,56147,52679,93.82
green,2024,11,52222,48657,93.17
green,2024,12,53994,50145,92.87
green,2025,1,48326,44859,92.83
green,2025,2,46621,43033,92.3
green,2025,3,51539,47275,91.73
green,2025,4,52132,47740,91.58
green,2025,5,55399,51151,92.33
green,2025,6,49390,46146,93.43
green,2025,7,48205,45543,94.48
green,2025,8,46306,43535,94.02
green,2025,9,48893,46265,94.62
green,2025,10,49416,46581,94.26
green,2025,11,46912,44066,93.93
green,2025,12,48236,45183,93.67
fhv,2023,1,1114320,229674,20.61
fhv,2023,2,1110797,227577,20.49
fhv,2023,3,1328242,277050,20.86
fhv,2023,4,1246479,257232,20.64
fhv,2023,5,1385826,314111,22.67
fhv,2023,6,1219445,289777,23.76
fhv,2023,7,1370843,311015,22.69
fhv,2023,8,1440352,354396,24.6
fhv,2023,9,1293303,345588,26.72
fhv,2023,10,1628438,376711,23.13
fhv,2023,11,1343846,185340,13.79
fhv,2023,12,1376748,227918,16.55
fhv,2024,1,1290116,258484,20.04
fhv,2024,2,1176093,196144,16.68
fhv,2024,3,1469352,260497,17.73
fhv,2024,4,1444626,363968,25.19
fhv,2024,5,1352502,260130,19.23
fhv,2024,6,1386539,321731,23.2
fhv,2024,7,1382739,350720,25.36
fhv,2024,8,1484471,230327,15.52
fhv,2024,9,1718375,384265,22.36
fhv,2024,10,1421231,245566,17.28
fhv,2024,11,1591082,320308,20.13
fhv,2024,12,1913200,235265,12.3
fhv,2025,1,1898108,311027,16.39
fhv,2025,2,1578722,299059,18.94
fhv,2025,3,2182992,258418,11.84
fhv,2025,4,1699478,379363,22.32
fhv,2025,5,2210721,449337,20.33
fhv,2025,6,2231731,431115,19.32
fhv,2025,7,2187536,382739,17.5
fhv,2025,8,2256854,355030,15.73
fhv,2025,9,2149292,388681,18.08
fhv,2025,10,2446615,414023,16.92
fhv,2025,11,2278604,378347,16.6
fhv,2025,12,1926891,347859,18.05
fhvhv,2023,1,18479031,18168469,98.32
fhvhv,2023,2,17960971,17680156,98.44
fhvhv,2023,3,20413539,20034607,98.14
fhvhv,2023,4,19144903,19102037,99.78
fhvhv,2023,5,19847676,19810101,99.81
fhvhv,2023,6,19366619,19329922,99.81
fhvhv,2023,7,19132131,19105728,99.86
fhvhv,2023,8,18322150,18298764,99.87
fhvhv,2023,9,19851123,19837742,99.93
fhvhv,2023,10,20186330,20177714,99.96
fhvhv,2023,11,19269250,19253646,99.92
fhvhv,2023,12,20516297,20505691,99.95
fhvhv,2024,1,19663930,19648278,99.92
fhvhv,2024,2,19359148,19341897,99.91
fhvhv,2024,3,21280788,21271089,99.95
fhvhv,2024,4,19733038,19723961,99.95
fhvhv,2024,5,20704538,20696235,99.96
fhvhv,2024,6,20123226,20114806,99.96
fhvhv,2024,7,19182934,19174879,99.96
fhvhv,2024,8,19128392,19120336,99.96
fhvhv,2024,9,19209788,19199441,99.95
fhvhv,2024,10,20028282,20003038,99.87
fhvhv,2024,11,19987533,19967139,99.9
fhvhv,2024,12,21068851,21020129,99.77
fhvhv,2025,1,20405666,20376783,99.86
fhvhv,2025,2,19339461,19327323,99.94
fhvhv,2025,3,20536879,20464611,99.65
fhvhv,2025,4,19753983,19731798,99.89
fhvhv,2025,5,21091193,21079956,99.95
fhvhv,2025,6,19868009,19845281,99.89
fhvhv,2025,7,19653012,19629617,99.88
fhvhv,2025,8,19271461,19076410,98.99
fhvhv,2025,9,19434641,19421657,99.93
fhvhv,2025,10,21308701,21269544,99.82
fhvhv,2025,11,20818240,20794418,99.89
fhvhv,2025,12,22108438,22066138,99.81
